q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
3,1,3,1,4,1,4,1,4,1
4,2,4,2,4,2,4,2,4,4
4,3,3,4,4,2,3,3,3,4
3,2,4,2,4,2,4,3,3,4
3,3,2,5,3,3,2,3,2,5
2,4,2,4,2,3,4,4,2,4
4,2,4,2,4,2,4,2,4,2
3,3,2,5,3,3,2,3,3,5
3,3,3,4,4,3,2,3,2,5
